Welk document ligt nog thuis?|Which document is still at home?|کدام مدرک هنوز در خانه است؟
Het paspoort.|The passport.|گذرنامه.
De identiteitskaart.|The identity card.|کارت شناسایی.
Dag Nora, met het loket. Uw paspoort ligt nog thuis, maar u kunt het formulier hier al invullen. Breng bij uw volgende bezoek zowel het paspoort als het ontbrekende attest mee. Kunt u die twee documenten klaarleggen?|Hello Nora, this is the service desk. Your passport is still at home, but you can fill in the form here already. Bring both the passport and the missing certificate on your next visit. Can you get those two documents ready?|سلام نورا، از باجه تماس می‌گیرم. گذرنامه‌تان هنوز در خانه است، اما فرم را همین‌جا می‌توانید پر کنید. دفعه بعد هم گذرنامه و هم گواهی کم‌شده را بیاورید. می‌توانید هر دو مدرک را آماده کنید؟
Dank u. Ik vul het formulier nu in en leg thuis mijn paspoort en attest klaar. Wanneer kan ik ze komen brengen?|Thank you. I will fill in the form now and get my passport and certificate ready at home. When can I bring them?|ممنون. الان فرم را پر می‌کنم و در خانه گذرنامه و گواهی را آماده می‌کنم. چه زمانی می‌توانم آن‌ها را بیاورم؟

Welke dag is uiteindelijk juist voor het gesprek?|Which day is eventually correct for the interview?|سرانجام کدام روز برای مصاحبه درست است؟
Vrijdag.|Friday.|جمعه.
Donderdag.|Thursday.|پنجشنبه.
Goedendag Amir. In de uitnodiging stond donderdag, maar het gesprek is op vrijdag. De datum in de bevestiging is juist. Neem uw contract en een kopie van uw diploma mee. Wilt u even laten weten dat u dit bericht ontvangen hebt?|Hello Amir. The invitation said Thursday, but the interview is on Friday. The date in the confirmation is correct. Bring your contract and a copy of your diploma. Please let us know you received this message.|سلام امیر. دعوت‌نامه پنجشنبه را گفته بود، اما مصاحبه جمعه است. تاریخ تأییدیه درست است. قرارداد و کپی مدرکتان را بیاورید. لطفاً خبر بدهید که این پیام را دریافت کرده‌اید.
Ik heb uw bericht ontvangen. Ik kom vrijdag en neem mijn contract en een kopie van mijn diploma mee. Bedankt voor de verduidelijking.|I received your message. I will come on Friday and bring my contract and a copy of my diploma. Thank you for clarifying.|پیامتان را دریافت کردم. جمعه می‌آیم و قرارداد و کپی مدرکم را می‌آورم. ممنون که روشن کردید.

Van wie leent Els een kleinere reisgids?|Who lends Els a smaller guidebook?|الس از چه کسی راهنمای سفر کوچک‌تری قرض می‌گیرد؟
Van haar zus.|Her sister.|از خواهرش.
Van haar vriend.|Her friend.|از دوستش.
Dag Els, je zus hier. Mijn kleine reisgids mag in jouw tas. Je hoeft dus geen extra bagage mee te nemen. Haal het boekje vanavond op en geef het na de reis terug. Past dat voor jou?|Hi Els, your sister here. You can put my small guidebook in your bag. You will not need extra luggage. Pick it up this evening and return it after the trip. Does that suit you?|سلام الس، خواهرت هستم. راهنمای کوچک من را می‌توانی در کیفت بگذاری؛ بار اضافه لازم نیست. امشب کتابچه را بگیر و بعد از سفر برگردان. برایت مناسب است؟
Dat past goed. Ik haal je kleine reisgids vanavond op. Zo kan mijn drinkfles ook in de tas. Na de reis breng ik het boekje terug.|That suits me. I will collect your small guidebook tonight. My water bottle will fit too. I will return the book after the trip.|مناسب است. امشب راهنمای کوچکت را می‌گیرم. این‌طوری بطری آبم هم جا می‌شود. بعد از سفر کتابچه را برمی‌گردانم.

Hoe verandert het weer na de ochtendregen?|How does the weather change after the morning rain?|بعد از باران صبح هوا چطور تغییر می‌کند؟
Het wordt warm en zonnig.|It becomes warm and sunny.|گرم و آفتابی می‌شود.
Het blijft koud en regenachtig.|It stays cold and rainy.|سرد و بارانی می‌ماند.
Hallo Jo, op de camping is de regen voorbij. Het wordt nu warm en zonnig. Gelukkig heb jij zonnecrème ingepakt. Breng ook je handdoek mee om de natte bank te drogen. Dan kunnen we daar samen zitten.|Hello Jo, the rain has stopped at the campsite. It is becoming warm and sunny. Luckily you packed sunscreen. Bring your towel to dry the wet bench too. Then we can sit there together.|سلام یو، باران در محل چادر تمام شده. حالا هوا گرم و آفتابی می‌شود. خوشبختانه ضدآفتاب آورده‌ای. حوله‌ات را هم بیاور تا نیمکت خیس را خشک کنیم؛ بعد با هم آنجا می‌نشینیم.
Ik kom met de handdoek en de zonnecrème. We drogen eerst de bank. Mijn regenjas houd ik toch bij, want het weer kan weer veranderen.|I will bring the towel and sunscreen. We will dry the bench first. I will keep my raincoat with me because the weather could change again.|حوله و ضدآفتاب می‌آورم. اول نیمکت را خشک می‌کنیم. بارانی را همراهم نگه می‌دارم، چون ممکن است هوا دوباره عوض شود.

Hoe legt Lina de laatste kilometer af?|How does Lina cover the last kilometre?|لینا آخرین کیلومتر را چطور می‌رود؟
Met een huurfiets.|On a rental bicycle.|با دوچرخه کرایه‌ای.
Met een taxi.|In a taxi.|با تاکسی.
Dag, Lina hier. Ik heb de bus gemist en de tram rijdt niet meer. De taxi is mij te duur. Ik neem een huurfiets voor de laatste kilometer. Kun je mij zeggen waar ik de fiets bij jullie kan zetten?|Hello, Lina here. I missed the bus and the tram has stopped running. The taxi is too expensive for me. I will take a rental bicycle for the last kilometre. Can you tell me where I can leave it near your place?|سلام، لینا هستم. اتوبوس را از دست دادم و تراموا دیگر کار نمی‌کند. تاکسی برایم خیلی گران است. آخرین کیلومتر را با دوچرخه کرایه‌ای می‌آیم. می‌گویی آن را نزدیک خانه شما کجا بگذارم؟
Goed dat je een huurfiets gevonden hebt. Ik kijk even waar je die mag terugzetten en stuur je het adres. Laat weten wanneer je vertrekt.|Good that you found a rental bicycle. I will check where you may return it and send you the address. Let me know when you leave.|خوب شد دوچرخه کرایه‌ای پیدا کردی. بررسی می‌کنم کجا می‌توانی تحویلش بدهی و نشانی را می‌فرستم. وقتی راه افتادی خبر بده.

Waarom moet de ingang vrijgemaakt worden?|Why must the entrance be cleared?|چرا باید ورودی باز شود؟
Een rolstoelgebruiker kan niet voorbij.|A wheelchair user cannot get past.|فردی با صندلی چرخ‌دار نمی‌تواند رد شود.
Een bestelwagen moet naar binnen rijden.|A van needs to drive inside.|یک ون باید داخل برود.
Dag buur, er staan een bakfiets en een scooter voor de deur van het buurthuis. Een bezoeker met een rolstoel geraakt er niet voorbij. We zoeken de eigenaars. Kun je helpen hen te vinden zodat de ingang vrij wordt?|Hello neighbour, a cargo bike and a scooter are in front of the community centre door. A wheelchair user cannot get past. We are looking for the owners. Can you help find them so the entrance can be cleared?|سلام همسایه، یک دوچرخه باری و اسکوتر جلوی در مرکز محله هستند. بازدیدکننده‌ای با صندلی چرخ‌دار نمی‌تواند رد شود. دنبال صاحبانشان هستیم. کمک می‌کنی پیدا شوند تا ورودی باز شود؟
Natuurlijk. Ik vraag binnen van wie de bakfiets en de scooter zijn. De eigenaars kunnen ze naast de deelwagen zetten, zodat de bezoeker kan passeren.|Of course. I will ask inside who owns the cargo bike and scooter. The owners can put them beside the shared car so the visitor can pass.|حتماً. داخل می‌پرسم دوچرخه باری و اسکوتر برای چه کسی هستند. صاحبان می‌توانند آن‌ها را کنار خودروی اشتراکی بگذارند تا بازدیدکننده رد شود.

Waarom kiest Farid de lift?|Why does Farid choose the lift?|چرا فرید آسانسور را انتخاب می‌کند؟
Hij heeft een zware koffer.|He has a heavy suitcase.|چمدان سنگین دارد.
Hij wil naar de uitgang beneden.|He wants the exit downstairs.|می‌خواهد به خروجی پایین برود.
Hallo, Farid hier. Het loket zegt dat ons perron boven ligt. Ik heb een zware koffer en neem daarom de lift. Loop niet naar de uitgang. Wacht je boven bij de lift op mij?|Hello, Farid here. The ticket desk says our platform is upstairs. I have a heavy suitcase, so I am taking the lift. Do not walk to the exit. Will you wait for me upstairs by the lift?|سلام، فرید هستم. باجه می‌گوید سکوی ما بالاست. چمدان سنگین دارم و برای همین آسانسور می‌گیرم. به سمت خروجی نرو. بالا کنار آسانسور منتظرم می‌مانی؟
Ja, ik wacht boven bij de lift. Ik ga niet naar de uitgang. Daarna zoeken we samen het juiste perron, zodat we dezelfde trein nemen.|Yes, I will wait upstairs by the lift. I will not go to the exit. Then we will find the right platform together and take the same train.|بله، بالا کنار آسانسور منتظر می‌مانم و به خروجی نمی‌روم. بعد با هم سکوی درست را پیدا می‌کنیم تا سوار یک قطار شویم.

Waar ontdekt Lies de wijziging van het spoor?|Where does Lies discover the platform change?|لیس تغییر سکو را کجا می‌فهمد؟
Op het informatiebord in de wachtzaal.|On the information board in the waiting room.|روی تابلوی اطلاعات سالن انتظار.
Op de ticketautomaat buiten.|On the ticket machine outside.|روی دستگاه بلیت بیرون.
Dag, met Lies. Het informatiebord in de wachtzaal toont een ander spoor. Onze trein vertrekt nu aan de andere kant van het station. Ik ga via de trap. Kijk even naar het bord en volg de nieuwe aanduiding.|Hi, Lies speaking. The information board in the waiting room shows a different platform. Our train now leaves from the other side of the station. I am taking the stairs. Check the board and follow the new sign.|سلام، لیس هستم. تابلوی سالن انتظار سکوی دیگری را نشان می‌دهد. قطارمان حالا از طرف دیگر ایستگاه حرکت می‌کند. من از پله می‌روم. تابلو را بررسی کن و علامت تازه را دنبال کن.
Bedankt voor het bericht. Ik controleer het informatiebord en ga naar het nieuwe spoor. Kun je even bij de trap wachten tot ik daar ben?|Thanks for the message. I will check the information board and go to the new platform. Could you wait by the stairs until I arrive?|ممنون که خبر دادی. تابلوی اطلاعات را بررسی می‌کنم و به سکوی تازه می‌روم. می‌توانی کنار پله صبر کنی تا برسم؟

